%% LaTeX2e file `exp2_lfwset_results.csv'
%% generated by the `filecontents' environment
%% from source `main' on 2018/04/23.
%%
 ImageID lfwset dummy
 40 0.251 0
 41 0.220 0
 42 0.221 0
 43 0.376 0
 44 0.279 0
 45 0.337 0
 46 0.271 0
 47 0.378 0
 48 0.384 0
 49 0.183 0
 50 0.214 0
 51 0.350 0
 52 0.343 0
 53 0.349 0
 54 0.432 0
 55 0.294 0
 56 0.327 0
 57 0.383 0
 58 0.699 0
 59 0.284 0
 60 0.251 0
 61 0.200 0
 62 0.311 0
 63 0.490 0
 64 0.317 0
 65 0.325 0
 66 0.236 0
 67 0.405 0
 68 0.793 0
 69 0.299 0
 70 0.413 0
 71 0.223 0
 72 0.258 0
 73 0.475 0
 74 0.688 0
 75 0.505 0
 76 0.258 0
 77 0.281 0
 78 0.480 0
 79 0.393 0
